"Statistic Label","Year","Nace Rev 2 Activity","UNIT","VALUE"
"Construction Enterprises","2019","Development of building projects (411)","Number","3846"
"Construction Enterprises","2019","Construction of residential and non-residential buildings (412)","Number","12227"
"Construction Enterprises","2019","Construction of roads and railways (421)","Number","777"
"Construction Enterprises","2019","Construction of utility projects (422)","Number","304"
"Construction Enterprises","2019","Construction of other civil engineering projects (429)","Number","540"
"Construction Enterprises","2019","Demolition and site preparation (431)","Number","737"
"Construction Enterprises","2019","Electrical, plumbing and other construction installation activities (432)","Number","11513"
"Construction Enterprises","2019","Building completion and finishing (433)","Number","20096"
"Construction Enterprises","2019","Other specialised construction activities (439)","Number","9135"
"Construction Enterprises","2019","Construction (41 to 43)","Number","59175"
"Construction Enterprises","2020","Development of building projects (411)","Number","4265"
"Construction Enterprises","2020","Construction of residential and non-residential buildings (412)","Number","12998"
"Construction Enterprises","2020","Construction of roads and railways (421)","Number","778"
"Construction Enterprises","2020","Construction of utility projects (422)","Number","312"
"Construction Enterprises","2020","Construction of other civil engineering projects (429)","Number","603"
"Construction Enterprises","2020","Demolition and site preparation (431)","Number","806"
"Construction Enterprises","2020","Electrical, plumbing and other construction installation activities (432)","Number","11642"
"Construction Enterprises","2020","Building completion and finishing (433)","Number","21102"
"Construction Enterprises","2020","Other specialised construction activities (439)","Number","10158"
"Construction Enterprises","2020","Construction (41 to 43)","Number","62664"
"Employees - Manual","2019","Development of building projects (411)","Number",""
"Employees - Manual","2019","Construction of residential and non-residential buildings (412)","Number",""
"Employees - Manual","2019","Construction of roads and railways (421)","Number",""
"Employees - Manual","2019","Construction of utility projects (422)","Number",""
"Employees - Manual","2019","Construction of other civil engineering projects (429)","Number",""
"Employees - Manual","2019","Demolition and site preparation (431)","Number",""
"Employees - Manual","2019","Electrical, plumbing and other construction installation activities (432)","Number",""
"Employees - Manual","2019","Building completion and finishing (433)","Number",""
"Employees - Manual","2019","Other specialised construction activities (439)","Number",""
"Employees - Manual","2019","Construction (41 to 43)","Number",""
"Employees - Manual","2020","Development of building projects (411)","Number",""
"Employees - Manual","2020","Construction of residential and non-residential buildings (412)","Number",""
"Employees - Manual","2020","Construction of roads and railways (421)","Number",""
"Employees - Manual","2020","Construction of utility projects (422)","Number",""
