Statistic Label,Year,UNIT,VALUE
Construction Enterprises,2019,Number,20096.0
Construction Enterprises,2020,Number,21102.0
Employees - Total,2019,Number,18308.0
Employees - Total,2020,Number,17093.0
Persons Engaged - Total,2019,Number,35597.0
Persons Engaged - Total,2020,Number,35231.0
Wages and Salaries - Total,2019,Euro Thousand,495965.0
Wages and Salaries - Total,2020,Euro Thousand,424090.0
Labour Costs - Other,2019,Euro Thousand,47975.0
Labour Costs - Other,2020,Euro Thousand,38042.0
Labour Costs - Total,2019,Euro Thousand,543939.0
Labour Costs - Total,2020,Euro Thousand,461289.0
Turnover - Total,2019,Euro Thousand,3078074.0
Turnover - Total,2020,Euro Thousand,2724390.0
Purchases - Factored goods,2019,Euro Thousand,10364.0
Purchases - Factored goods,2020,Euro Thousand,5698.0
Purchases - Total,2019,Euro Thousand,2787627.0
Purchases - Total,2020,Euro Thousand,2399723.0
Production value,2019,Euro Thousand,3039214.0
Production value,2020,Euro Thousand,2696729.0
Intermediate consumption,2019,Euro Thousand,1926951.0
Intermediate consumption,2020,Euro Thousand,1739204.0
Gross value added at basic prices,2019,Euro Thousand,1112264.0
Gross value added at basic prices,2020,Euro Thousand,957525.0
Gross value added at factor cost,2019,Euro Thousand,1107713.0
Gross value added at factor cost,2020,Euro Thousand,945228.0
