"Statistic Label","Year","Persons Engaged","UNIT","VALUE"
"Construction Enterprises","2019","0 - 9","Number","56935"
"Construction Enterprises","2019","10 - 49","Number","2007"
"Construction Enterprises","2019","50 - 249","Number","208"
"Construction Enterprises","2019","250 and over","Number","25"
"Construction Enterprises","2020","0 - 9","Number","60553"
"Construction Enterprises","2020","10 - 49","Number","1891"
"Construction Enterprises","2020","50 - 249","Number","196"
"Construction Enterprises","2020","250 and over","Number","24"
"Employees - Manual","2019","0 - 9","Number",""
"Employees - Manual","2019","10 - 49","Number",""
"Employees - Manual","2019","50 - 249","Number",""
"Employees - Manual","2019","250 and over","Number",""
"Employees - Manual","2020","0 - 9","Number",""
"Employees - Manual","2020","10 - 49","Number",""
"Employees - Manual","2020","50 - 249","Number",""
"Employees - Manual","2020","250 and over","Number",""
"Employees - Other","2019","0 - 9","Number",""
"Employees - Other","2019","10 - 49","Number",""
"Employees - Other","2019","50 - 249","Number",""
"Employees - Other","2019","250 and over","Number",""
"Employees - Other","2020","0 - 9","Number",""
"Employees - Other","2020","10 - 49","Number",""
"Employees - Other","2020","50 - 249","Number",""
"Employees - Other","2020","250 and over","Number",""
"Employees - Total","2019","0 - 9","Number","51501"
"Employees - Total","2019","10 - 49","Number","37278"
"Employees - Total","2019","50 - 249","Number","17731"
"Employees - Total","2019","250 and over","Number","12414"
"Employees - Total","2020","0 - 9","Number","50462"
"Employees - Total","2020","10 - 49","Number","35510"
"Employees - Total","2020","50 - 249","Number","16716"
"Employees - Total","2020","250 and over","Number","13223"
"Persons Engaged - Proprietors and Unpaid Family Workers","2019","0 - 9","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2019","10 - 49","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2019","50 - 249","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2019","250 and over","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2020","0 - 9","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2020","10 - 49","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2020","50 - 249","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2020","250 and over","Number",""
"Persons Engaged - Labour only subcontract basis","2019","0 - 9","Number",""
"Persons Engaged - Labour only subcontract basis","2019","10 - 49","Number",""
"Persons Engaged - Labour only subcontract basis","2019","50 - 249","Number",""
"Persons Engaged - Labour only subcontract basis","2019","250 and over","Number",""
"Persons Engaged - Labour only subcontract basis","2020","0 - 9","Number",""
"Persons Engaged - Labour only subcontract basis","2020","10 - 49","Number",""
"Persons Engaged - Labour only subcontract basis","2020","50 - 249","Number",""
"Persons Engaged - Labour only subcontract basis","2020","250 and over","Number",""
"Persons Engaged - Total","2019","0 - 9","Number","90656"
"Persons Engaged - Total","2019","10 - 49","Number","37422"
"Persons Engaged - Total","2019","50 - 249","Number","17735"
"Persons Engaged - Total","2019","250 and over","Number","12414"
"Persons Engaged - Total","2020","0 - 9","Number","91798"
"Persons Engaged - Total","2020","10 - 49","Number","35610"
"Persons Engaged - Total","2020","50 - 249","Number","16718"
"Persons Engaged - Total","2020","250 and over","Number","13223"
"Wages and Salaries - Manual Employees","2019","0 - 9","Euro Thousand",""
"Wages and Salaries - Manual Employees","2019","10 - 49","Euro Thousand",""
"Wages and Salaries - Manual Employees","2019","50 - 249","Euro Thousand",""
"Wages and Salaries - Manual Employees","2019","250 and over","Euro Thousand",""
"Wages and Salaries - Manual Employees","2020","0 - 9","Euro Thousand",""
"Wages and Salaries - Manual Employees","2020","10 - 49","Euro Thousand",""
"Wages and Salaries - Manual Employees","2020","50 - 249","Euro Thousand",""
"Wages and Salaries - Manual Employees","2020","250 and over","Euro Thousand",""
"Wages and Salaries - Other Employees","2019","0 - 9","Euro Thousand",""
"Wages and Salaries - Other Employees","2019","10 - 49","Euro Thousand",""
"Wages and Salaries - Other Employees","2019","50 - 249","Euro Thousand",""
"Wages and Salaries - Other Employees","2019","250 and over","Euro Thousand",""
"Wages and Salaries - Other Employees","2020","0 - 9","Euro Thousand",""
"Wages and Salaries - Other Employees","2020","10 - 49","Euro Thousand",""
"Wages and Salaries - Other Employees","2020","50 - 249","Euro Thousand",""
"Wages and Salaries - Other Employees","2020","250 and over","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2019","0 - 9","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2019","10 - 49","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2019","50 - 249","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2019","250 and over","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2020","0 - 9","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2020","10 - 49","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2020","50 - 249","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2020","250 and over","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2019","0 - 9","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2019","10 - 49","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2019","50 - 249","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2019","250 and over","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2020","0 - 9","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2020","10 - 49","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2020","50 - 249","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2020","250 and over","Euro Thousand",""
"Wages and Salaries - Total","2019","0 - 9","Euro Thousand","1428575"
"Wages and Salaries - Total","2019","10 - 49","Euro Thousand","1338113"
"Wages and Salaries - Total","2019","50 - 249","Euro Thousand","755053"
"Wages and Salaries - Total","2019","250 and over","Euro Thousand","727085"
"Wages and Salaries - Total","2020","0 - 9","Euro Thousand","1240503"
"Wages and Salaries - Total","2020","10 - 49","Euro Thousand","1187461"
"Wages and Salaries - Total","2020","50 - 249","Euro Thousand","703585"
"Wages and Salaries - Total","2020","250 and over","Euro Thousand","753017"
"Labour Costs - Other","2019","0 - 9","Euro Thousand","107736"
"Labour Costs - Other","2019","10 - 49","Euro Thousand","148017"
"Labour Costs - Other","2019","50 - 249","Euro Thousand","90630"
"Labour Costs - Other","2019","250 and over","Euro Thousand","94809"
"Labour Costs - Other","2020","0 - 9","Euro Thousand","91785"
"Labour Costs - Other","2020","10 - 49","Euro Thousand","134759"
"Labour Costs - Other","2020","50 - 249","Euro Thousand","91156"
"Labour Costs - Other","2020","250 and over","Euro Thousand","94740"
"Labour Costs - Total","2019","0 - 9","Euro Thousand","1535901"
"Labour Costs - Total","2019","10 - 49","Euro Thousand","1486130"
